s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi
2023-10-26;1698278400000;OGHY11.SA;10.6;10.6;9.99;10.42;10.33;223;fii;;;;;50.47
2023-10-27;1698364800000;OGHY11.SA;10.59;10.59;10.41;10.59;10.5;51;fii;;;;;55.9
2023-10-30;1698624000000;OGHY11.SA;10.6;10.6;10.4;10.6;10.51;323;fii;;;;;56.21
2023-10-31;1698710400000;OGHY11.SA;10.6;10.6;10.21;10.6;10.51;246;fii;;;;;56.21
2023-11-01;1698796800000;OGHY11.SA;10.79;10.8;10.02;10.15;10.15;535;fii;;;;;43.63
2023-11-03;1698969600000;OGHY11.SA;10.15;10.15;9.88;9.88;9.88;961;fii;;;;;36.95
2023-11-06;1699228800000;OGHY11.SA;9.88;10.05;9.88;10.0;10.0;220;fii;;;;;41.25
2023-11-07;1699315200000;OGHY11.SA;10.0;10.02;9.03;10.0;10.0;3876;fii;;;;;41.25
2023-11-08;1699401600000;OGHY11.SA;10.01;10.05;9.73;9.99;9.99;989;fii;;;;;40.98
2023-11-09;1699488000000;OGHY11.SA;9.99;9.99;9.68;9.85;9.85;221;fii;;;;;37.3
2023-11-10;1699574400000;OGHY11.SA;9.85;9.99;9.52;9.98;9.98;1670;fii;;;;;42.47
2023-11-13;1699833600000;OGHY11.SA;9.97;9.99;9.7;9.99;9.99;435;fii;;;;;42.86
2023-11-14;1699920000000;OGHY11.SA;9.99;9.99;9.7;9.99;9.99;2901;fii;;;;;42.86
2023-11-16;1700092800000;OGHY11.SA;9.99;9.99;9.3;9.97;9.97;4022;fii;;;;;42.2
2023-11-17;1700179200000;OGHY11.SA;9.97;9.98;9.48;9.79;9.79;376;fii;;;;;36.68
2023-11-20;1700438400000;OGHY11.SA;9.8;9.96;9.8;9.95;9.95;1215;fii;;;;;43.72
2023-11-21;1700524800000;OGHY11.SA;9.96;9.98;9.63;9.95;9.95;599;fii;;;;;43.72
2023-11-22;1700611200000;OGHY11.SA;9.95;9.95;9.7;9.95;9.95;64;fii;;;;;43.72
2023-11-23;1700697600000;OGHY11.SA;9.95;9.96;9.7;9.94;9.94;11289;fii;;;;;43.35
2023-11-24;1700784000000;OGHY11.SA;9.75;9.96;9.7;9.96;9.96;142;fii;;;;;44.38
2023-11-27;1701043200000;OGHY11.SA;9.96;9.96;9.93;9.93;9.93;498;fii;;;;;43.11
2023-11-28;1701129600000;OGHY11.SA;9.96;9.96;9.91;9.91;9.91;937;fii;;;;;42.24
2023-11-29;1701216000000;OGHY11.SA;9.96;9.96;9.71;9.96;9.96;138;fii;;;;;45.21
2023-11-30;1701302400000;OGHY11.SA;9.96;9.96;9.77;9.96;9.96;802;fii;;;;;45.21
